	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_964	NA	NA	NA	NA	NA	NA	NA
ASV_965	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_966	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_967	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_968	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_969	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	NA	NA
ASV_970	NA	NA	NA	NA	NA	NA	NA
ASV_971	NA	NA	NA	NA	NA	NA	NA
ASV_972	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_973	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_974	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_975	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_976	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_977	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_978	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_979	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_980	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_981	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_982	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_983	NA	NA	NA	NA	NA	NA	NA
ASV_984	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_985	NA	NA	NA	NA	NA	NA	NA
ASV_986	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_987	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_988	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_989	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_990	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_991	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_992	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_993	NA	NA	NA	NA	NA	NA	NA
ASV_994	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_995	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_996	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_997	NA	NA	NA	NA	NA	NA	NA
ASV_998	NA	NA	NA	NA	NA	NA	NA
ASV_999	NA	NA	NA	NA	NA	NA	NA
ASV_1000	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1001	k__Bacteria	 Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Larkinella	s__
ASV_1002	NA	NA	NA	NA	NA	NA	NA
ASV_1003	NA	NA	NA	NA	NA	NA	NA
ASV_1004	NA	NA	NA	NA	NA	NA	NA
ASV_1005	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1006	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1007	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1008	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1009	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1010	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1011	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1012	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1013	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1014	NA	NA	NA	NA	NA	NA	NA
ASV_1015	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1016	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_1017	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1018	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1019	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1020	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1021	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1022	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1023	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1024	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1025	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1026	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1027	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1028	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1029	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1030	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1031	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1032	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1033	k__Bacteria	 Firmicutes	NA	NA	NA	NA	NA
ASV_1034	NA	NA	NA	NA	NA	NA	NA
ASV_1035	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1036	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1037	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1038	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_1039	NA	NA	NA	NA	NA	NA	NA
ASV_1040	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1041	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1042	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1043	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1044	NA	NA	NA	NA	NA	NA	NA
ASV_1045	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1046	NA	NA	NA	NA	NA	NA	NA
ASV_1047	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1048	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1049	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1050	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1051	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1052	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1053	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1054	NA	NA	NA	NA	NA	NA	NA
ASV_1055	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1056	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1057	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1058	NA	NA	NA	NA	NA	NA	NA
ASV_1059	NA	NA	NA	NA	NA	NA	NA
