	mouse01	mouse02	mouse03	mouse04	mouse05	mouse06	mouse07	mouse08	mouse09	mouse10	mouse11	mouse12	mouse13	mouse14	mouse15	mouse16	mouse17	mouse18	mouse19	mouse20	mouse21	mouse22	mouse23	mouse24	mouse25	mouse26	mouse27	mouse28	mouse29	mouse30	mouse31	mouse32	mouse33	mouse34	mouse35	mouse36	mouse37	mouse38	mouse39	mouse40	mouse41	mouse42	mouse43	mouse44	mouse45	mouse46	mouse48
ASV_266	21	3	9	1	9	0	1	12	8	11	18	0	4	0	1	3	8	5	0	0	10	2	4	1	1	0	0	0	8	1	0	0	8	0	1	1	2	0	0	0	0	0	0	0	0	0	0
ASV_267	10	3	3	2	11	5	1	8	8	10	8	3	4	0	2	1	4	1	1	7	19	4	15	0	2	0	2	0	0	0	4	0	0	0	5	2	0	3	0	0	3	0	0	0	0	0	0
ASV_268	3	4	2	0	5	2	4	3	6	7	5	8	5	0	1	2	2	0	0	6	21	21	6	2	3	0	10	0	0	0	3	0	0	0	9	6	0	1	0	0	2	0	0	0	0	0	0
ASV_269	0	0	1	1	2	0	1	4	2	1	3	0	1	0	3	0	3	1	1	1	6	5	1	0	6	0	6	0	1	2	13	1	4	6	6	3	0	5	17	6	4	8	9	2	9	2	1
ASV_270	0	0	0	0	0	0	1	0	0	0	2	0	0	6	0	0	1	0	0	0	0	0	1	0	11	2	13	6	1	12	11	7	11	14	4	7	6	6	6	3	1	0	8	1	0	5	0
ASV_271	3	3	8	2	3	3	2	4	11	1	3	6	6	7	5	6	2	0	5	6	27	10	8	1	0	1	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	1	0	0	0	0	0
ASV_272	1	10	7	2	1	0	0	1	9	0	11	1	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29	0	10	2	22	11	0	0	6	0	8	0
ASV_273	2	4	14	5	3	5	1	16	8	8	13	4	10	12	10	11	2	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_274	1	2	1	2	3	2	3	3	5	7	4	3	2	4	6	2	7	2	5	3	3	5	3	1	6	2	2	0	3	1	8	2	4	9	2	3	0	3	7	2	2	2	2	0	2	0	0
ASV_275	2	6	5	3	5	5	16	8	13	4	7	3	5	4	6	6	11	10	8	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_276	11	1	4	8	0	4	7	5	4	1	9	0	6	0	7	5	0	3	6	3	2	1	13	0	3	0	0	1	0	2	3	2	8	0	4	0	0	0	2	6	0	0	0	4	2	0	1
ASV_277	5	5	5	3	8	7	5	9	8	0	9	4	9	4	3	9	11	9	10	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_278	2	2	1	1	1	0	0	2	2	1	15	1	2	11	2	4	1	1	2	3	8	4	4	0	5	3	8	8	2	0	2	2	12	8	7	4	0	2	0	0	1	0	1	0	0	0	0
ASV_279	6	13	13	5	0	13	8	13	1	6	11	7	0	1	6	11	0	0	9	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	1	1	0	0	0	0	0
ASV_280	1	4	6	3	1	0	0	0	8	0	15	1	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	0	16	9	20	5	0	0	9	0	5	0
ASV_281	0	3	2	0	0	1	3	0	0	7	8	2	7	9	2	3	0	3	4	5	37	1	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_282	0	0	1	1	2	1	6	1	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	56	0	2	2	6	7	12	0	1	17	9
ASV_283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_284	10	3	11	3	1	0	11	17	5	20	18	21	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_285	2	0	0	1	2	0	0	0	0	1	0	0	3	0	1	0	10	0	0	2	7	7	4	1	2	1	11	0	0	3	25	2	7	2	3	1	0	5	1	7	2	2	3	0	6	5	0
ASV_286	6	0	1	4	9	3	4	8	5	6	6	0	2	0	1	6	2	2	1	3	10	11	10	1	0	0	6	0	0	0	2	0	0	0	8	7	0	3	0	0	2	0	0	0	0	0	0
ASV_287	2	4	3	5	10	4	6	14	7	1	7	4	8	4	5	4	10	8	7	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_288	2	5	2	4	2	1	5	15	14	6	8	4	6	2	8	5	14	6	7	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_289	2	0	0	1	1	3	0	1	1	1	2	1	1	2	0	0	3	0	0	2	3	2	3	0	7	0	3	2	1	7	11	2	4	4	5	2	3	3	8	4	8	3	8	2	3	6	2
ASV_290	3	3	0	2	5	1	0	5	5	6	3	0	2	0	0	7	4	1	0	4	19	11	8	4	3	0	6	0	0	0	8	0	0	0	10	1	0	4	0	0	2	0	0	0	0	0	0
ASV_291	1	2	0	1	3	0	1	0	0	0	2	0	2	0	3	0	1	0	1	0	6	4	3	0	14	0	3	2	0	9	18	0	5	5	5	0	2	3	3	4	5	2	12	0	2	2	1
ASV_292	0	6	2	6	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	11	0	0	0	5	0	11	0	9	9	0	0	14	0	0	1	0	11	0	0	0	0	0	0	17	0	8	10
ASV_293	1	5	4	3	0	1	0	0	10	1	7	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	18	6	21	7	0	0	5	0	6	0
ASV_294	3	7	4	5	11	4	4	9	3	4	9	5	5	3	5	8	13	6	2	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_295	0	0	0	0	0	0	0	4	0	0	0	0	0	0	33	0	88	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_296	7	3	0	2	0	0	1	0	0	4	2	1	7	0	1	8	1	0	1	1	18	22	15	2	1	0	13	0	1	0	4	0	1	0	7	0	0	1	0	0	1	0	0	0	0	0	0
ASV_297	7	6	4	2	13	1	6	3	12	0	4	4	10	1	5	6	6	4	10	5	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_298	3	3	0	2	1	7	1	5	4	1	2	1	1	1	4	1	0	2	0	3	6	1	3	0	3	3	9	2	2	0	5	0	13	5	8	3	1	6	2	0	7	0	0	1	1	0	1
ASV_299	4	0	1	5	3	1	2	6	8	2	5	7	5	0	3	9	0	1	39	10	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_300	6	5	7	7	13	2	3	2	3	5	15	7	8	4	6	3	12	2	6	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_301	4	4	1	4	6	9	5	9	9	6	7	2	6	8	5	5	11	3	8	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_303	1	0	1	0	2	1	0	4	1	1	2	0	1	0	1	0	5	0	1	4	2	0	1	0	13	0	9	1	0	2	11	0	3	2	6	3	2	3	5	6	6	3	3	2	8	1	2
ASV_304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	65	23	0	0	1	0	0	0	0
ASV_305	4	3	3	1	1	1	0	7	4	0	6	1	10	5	7	11	4	0	5	16	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_306	1	0	0	0	0	2	1	2	0	0	2	0	2	0	0	1	3	0	0	0	3	0	3	0	7	1	2	0	3	5	0	4	3	6	6	0	2	7	6	6	5	1	11	4	9	4	4
ASV_307	0	1	5	0	8	0	1	0	0	3	1	1	0	3	1	0	5	0	1	0	2	3	1	0	8	0	5	2	0	1	12	1	3	2	6	6	2	2	3	3	3	4	7	2	4	0	3
ASV_308	0	1	0	2	5	0	0	2	0	0	2	0	2	0	0	0	3	0	0	3	4	1	3	0	11	0	3	0	0	3	8	0	11	3	7	9	1	7	3	5	2	1	7	2	3	0	1
ASV_309	0	3	3	0	13	0	0	0	5	13	0	11	0	14	5	0	8	0	0	0	4	6	0	4	0	0	1	0	3	0	0	1	7	3	0	1	0	2	0	0	4	0	0	0	0	1	3
ASV_310	1	0	2	1	2	2	0	4	1	2	1	0	1	0	5	0	0	2	2	2	1	2	1	0	7	1	4	1	2	6	4	1	4	2	10	2	1	6	5	1	6	4	7	0	5	1	2
ASV_311	1	0	79	1	0	3	2	23	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_312	11	1	0	4	5	3	5	1	9	7	5	5	10	2	2	14	11	5	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	57	0	8	1	14	0	0	0	1	0	0	0	0	0	0
ASV_314	6	4	6	2	6	2	3	6	7	4	7	3	2	4	4	1	13	2	9	6	6	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ASV_315	0	0	1	1	5	1	3	2	3	0	4	0	1	1	0	1	4	0	0	2	4	1	4	1	10	3	2	1	3	5	0	0	12	3	4	1	2	0	2	5	4	0	3	3	4	2	4
ASV_316	2	1	0	0	1	0	1	2	1	1	3	0	0	0	0	1	1	0	2	0	3	1	3	1	11	0	7	1	0	6	4	1	6	7	1	1	2	1	9	8	1	1	7	1	7	2	4
ASV_317	2	1	1	1	2	1	0	1	1	0	1	1	1	1	3	0	1	2	3	0	1	3	1	0	8	0	1	5	2	3	9	1	4	2	5	6	0	1	6	4	5	6	7	1	5	2	1
ASV_318	31	2	1	0	0	1	6	8	0	6	1	4	0	1	1	2	0	2	3	0	2	4	1	0	0	0	0	0	4	0	0	1	0	0	0	0	4	0	2	3	5	0	8	1	4	3	0
ASV_319	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0	7	2	0	0	6	2	1	7	0	0	0	4	6	10	9	0	4	2	8	7	6	0	12	0	7	3	0
ASV_320	1	0	0	1	4	0	3	2	1	1	1	0	1	0	0	0	3	0	0	1	5	1	2	0	13	0	3	2	1	3	12	1	2	2	6	2	2	4	4	3	3	0	9	1	5	3	2
ASV_321	2	3	5	2	2	1	0	5	5	4	6	2	2	3	0	1	4	1	5	1	2	6	2	0	0	0	4	1	2	1	5	1	1	6	1	1	0	6	4	2	6	2	1	0	2	0	0
ASV_322	2	3	4	5	0	5	11	10	3	3	18	3	4	0	3	1	0	0	2	6	1	0	4	0	0	0	0	0	14	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_323	13	1	5	3	13	3	8	0	8	11	6	6	0	1	0	0	17	0	1	0	10	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_324	11	7	1	2	5	3	1	3	7	5	9	2	1	0	0	0	2	0	0	1	14	2	8	1	4	1	4	0	0	0	4	0	0	0	6	2	0	0	0	0	2	0	0	0	0	0	0
ASV_325	4	0	1	1	1	0	0	0	1	1	1	1	1	0	2	4	5	0	2	1	2	9	2	1	1	0	3	1	0	6	2	5	11	5	4	3	2	2	5	2	4	1	5	2	2	1	0
ASV_326	8	4	2	1	3	1	0	0	4	1	2	2	8	0	0	4	2	2	2	1	7	26	5	5	0	0	5	0	1	0	5	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0
ASV_327	2	1	1	0	1	1	1	6	4	2	2	0	1	4	3	1	2	2	1	1	4	2	2	0	4	3	3	4	0	10	0	0	4	6	1	0	3	1	0	0	2	2	3	10	6	0	0
ASV_328	6	3	1	4	6	1	3	8	6	2	7	3	0	1	0	5	0	0	1	3	8	1	8	0	5	0	7	0	0	0	0	0	0	0	5	4	0	1	0	0	7	0	0	0	0	0	0
ASV_329	3	0	3	1	2	0	0	0	0	2	1	0	0	0	0	0	5	0	0	1	2	1	2	0	4	0	5	0	0	5	13	0	5	2	2	8	1	2	8	1	6	3	4	6	3	1	3
ASV_330	1	2	1	0	1	0	2	1	0	0	0	1	1	1	0	0	4	1	0	0	7	4	1	0	3	1	1	6	0	10	8	1	1	3	4	4	3	1	3	4	3	0	11	1	2	5	2
ASV_331	5	1	2	1	6	5	1	5	3	3	0	1	7	0	0	7	0	0	2	3	11	11	6	1	6	0	5	0	1	0	1	0	0	0	2	2	0	1	0	0	3	0	0	3	0	0	0
ASV_332	1	4	6	3	3	1	6	4	3	9	1	6	4	3	0	2	8	2	2	3	3	5	11	2	2	0	1	2	0	0	0	1	0	1	2	1	1	0	0	1	0	0	0	0	0	0	1
ASV_333	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	0	2	1	0	4	0	2	7	2	6	4	1	6	12	8	7	2	18	2	7	4	0
ASV_334	4	1	4	3	10	6	6	4	5	2	7	3	6	1	5	4	18	4	4	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_335	2	1	2	4	7	3	3	3	3	0	7	0	5	1	0	0	7	2	5	8	6	4	3	0	6	0	2	0	0	0	7	0	0	0	4	5	0	0	0	0	4	0	0	0	0	0	0
ASV_336	3	14	4	7	8	5	2	9	7	9	4	0	4	1	4	2	4	2	4	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_337	0	0	0	1	0	3	2	5	0	0	1	0	2	0	0	0	5	1	2	2	6	0	3	0	11	1	3	1	0	2	6	1	4	4	1	3	0	2	2	6	3	4	7	3	1	1	2
ASV_338	0	3	0	3	3	0	0	3	2	3	1	1	5	0	1	2	3	0	2	1	12	15	5	2	8	0	7	0	0	0	5	0	0	0	6	4	0	2	0	0	2	0	0	0	0	0	0
ASV_339	3	1	0	1	7	0	0	3	4	2	5	2	1	0	0	2	0	0	0	3	24	7	8	1	7	0	4	0	0	0	0	0	0	0	7	6	0	1	0	0	2	0	0	0	0	0	0
ASV_340	15	2	3	2	7	6	11	1	8	16	8	3	0	0	2	0	6	0	1	0	3	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ASV_341	2	4	4	1	5	6	3	6	7	2	4	4	7	5	9	4	7	9	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_342	4	1	0	0	1	1	2	1	5	1	6	0	3	0	0	4	0	0	1	0	24	6	7	0	4	3	4	0	0	0	0	0	0	0	9	1	2	3	0	0	3	0	2	2	0	0	0
ASV_343	2	6	0	0	5	1	1	4	3	0	6	2	4	0	1	10	0	0	0	10	6	7	19	2	4	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
ASV_344	5	1	2	5	7	3	6	4	12	3	3	1	6	4	2	2	10	5	7	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_345	3	0	9	7	0	10	0	24	42	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_346	2	2	14	5	1	7	6	9	15	7	5	3	3	2	3	8	1	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_347	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	41	0	3	0	0	0	0	11	9	12	1	0	4	0	6	5	0
ASV_348	0	0	2	0	0	3	5	0	12	5	0	4	0	10	0	5	0	0	8	2	13	0	6	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	7	0
ASV_349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	7	0	0	24	50	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0
ASV_350	0	9	2	1	6	4	5	7	8	2	13	0	3	1	1	2	9	4	8	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	4	1	0	3	3	0	0	3	1	0	2	0	0	0	0	2	0	0	0	1	5	25	7	0	9	1	4	0	0	0	2	0	0	0	10	6	1	0	0	0	2	0	0	1	0	0	0
ASV_352	3	0	4	0	2	0	0	0	5	1	1	6	1	9	2	0	6	8	1	0	12	0	22	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ASV_353	0	3	29	0	0	4	0	24	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV_354	1	0	0	1	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	20	0	24	0	0	6	2	1	17	5	0
ASV_355	1	3	1	4	6	5	0	16	13	6	20	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	6	0	2	0	0	0	0
ASV_356	2	1	2	7	3	2	2	2	2	1	4	3	11	0	0	8	2	4	2	1	6	4	4	0	1	0	0	0	0	0	0	0	1	0	4	0	0	2	1	2	2	1	1	0	0	0	0
ASV_357	3	0	3	2	1	3	3	6	4	2	3	2	1	0	3	2	1	1	1	2	2	6	3	0	2	0	2	1	0	1	3	1	0	3	0	0	1	5	4	2	1	2	2	0	2	1	0
ASV_358	6	1	1	1	10	2	0	3	7	5	8	0	10	13	0	1	6	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
ASV_359	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	4	1	2	1	0	0	0	4	4	6	8	0	2	4	16	9	6	1	3	0	5	0	0
ASV_360	0	1	1	0	4	0	0	1	0	1	1	0	1	0	0	0	5	3	1	2	3	2	2	0	7	0	2	4	0	0	10	0	3	0	2	4	2	1	4	3	0	0	3	3	4	4	0
ASV_361	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	2	2	1	0	3	1	2	1	0	0	0	3	2	8	7	0	5	5	6	7	2	0	8	0	12	1	0
ASV_362	2	0	3	0	1	1	1	1	0	0	3	0	0	0	1	1	1	1	1	5	1	1	0	0	7	0	6	0	1	1	8	3	2	1	5	2	0	6	5	3	1	1	1	0	4	1	0
ASV_363	0	0	2	4	0	0	2	0	0	6	0	0	0	5	0	0	0	0	0	3	0	0	0	3	0	6	0	0	10	0	0	7	1	0	0	0	12	0	0	0	0	0	0	12	0	7	2
ASV_364	12	1	5	4	3	0	6	4	2	19	7	15	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ASV_365	0	1	1	0	5	0	2	1	4	2	6	2	2	0	4	0	1	3	1	2	0	0	6	0	0	0	0	0	2	9	0	0	11	0	0	1	0	1	0	0	5	0	0	8	0	0	1
ASV_366	0	0	1	0	0	2	2	0	1	0	1	0	1	0	0	0	1	1	2	0	3	0	0	0	10	0	3	0	0	3	7	0	1	0	6	4	1	3	5	2	6	2	8	2	2	0	0
ASV_367	5	3	1	0	2	2	0	2	1	1	8	6	1	4	2	1	4	0	1	3	3	0	1	0	6	0	11	0	0	1	0	0	1	0	4	2	0	0	2	1	1	0	0	0	0	0	0
ASV_368	4	2	1	1	6	2	7	6	5	6	3	2	1	1	5	4	7	4	3	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_369	16	0	0	2	12	0	0	4	8	0	1	6	0	0	0	0	0	1	0	0	26	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_370	1	2	2	2	3	0	0	3	2	5	4	3	0	0	2	4	0	0	2	0	7	2	4	0	3	0	9	0	0	0	3	0	0	0	6	3	0	2	0	0	4	0	0	0	0	0	0
ASV_371	0	0	4	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	1	0	0	4	1	0	2	2	1	1	2	1	2	4	1	5	8	1	20	5	0
ASV_372	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	1	2	0	0	2	4	1	7	9	5	2	2	1	5	1	1	0	1	1	0	2	5	3	0	1	2	0	2	7	3
ASV_373	0	0	0	0	0	0	1	1	0	1	0	0	1	6	2	2	0	0	0	0	2	2	0	0	1	1	1	0	0	0	1	4	2	0	1	1	1	0	0	6	10	5	10	3	9	1	2
ASV_374	1	2	0	0	0	2	0	1	3	1	1	0	0	4	1	0	0	2	0	1	6	6	1	0	1	2	0	1	2	10	2	1	3	1	1	0	4	5	2	1	2	0	0	2	3	2	0
ASV_375	0	0	0	0	3	0	1	1	1	0	1	0	0	0	2	0	1	0	0	0	1	0	3	0	0	0	2	2	0	1	0	1	2	0	2	2	0	4	2	1	5	2	11	12	12	1	1
ASV_376	9	6	6	2	0	2	4	2	9	5	5	5	0	0	1	0	14	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_377	0	0	1	0	0	1	1	0	0	0	0	0	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	2	0	0	8	6	16	3	18	5	0
ASV_378	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
ASV_379	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	5	2	0	0	3	2	1	0	0	0	0	9	4	2	4	0	3	3	2	10	2	0	5	0	10	3	0
ASV_380	3	0	1	1	1	0	0	6	2	3	9	1	9	0	1	0	25	5	0	1	0	0	2	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_381	1	1	7	0	6	2	1	1	4	2	9	2	5	2	9	1	1	1	2	0	0	0	4	0	1	0	0	0	1	2	2	1	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0
ASV_382	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	68	0	0	0	3	0
ASV_383	0	0	16	0	0	0	0	16	37	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_384	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	3	1	3	2	0	0	0	6	4	6	7	0	0	2	6	6	5	1	2	0	5	7	0
ASV_385	2	0	23	1	1	2	40	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_386	0	2	2	1	0	1	2	5	2	2	1	0	2	3	1	0	1	1	0	1	4	2	1	1	0	1	0	0	1	7	3	2	1	1	2	1	3	3	0	2	2	3	2	4	1	1	0
ASV_387	2	3	20	3	1	2	3	8	9	0	9	2	1	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
ASV_388	2	0	0	0	2	0	2	1	0	0	2	1	0	0	0	2	4	2	1	1	1	5	2	0	4	2	2	1	0	8	0	5	7	3	4	2	0	0	0	2	1	1	1	1	0	0	1
ASV_389	14	3	0	1	5	4	3	1	3	4	2	5	0	1	3	0	5	5	1	0	10	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_390	4	2	0	0	1	3	1	1	3	1	1	4	0	0	2	2	3	1	1	1	6	0	5	0	1	0	0	1	3	0	4	0	0	3	6	0	0	1	3	0	0	2	2	0	2	1	1
ASV_391	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	4	0	7	8	0	0	3	0	0	0	0	4	0	0	0	0	0	0	16	0	11	7
ASV_392	1	0	2	0	0	0	0	9	7	0	17	4	5	2	1	0	1	4	1	5	2	0	2	0	0	0	0	0	3	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ASV_393	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	7	0	3	0	0	8	24	1	1	6	2	3	2	2	1	0	0	1	1	1	3	0	0
ASV_394	0	2	1	2	3	1	0	1	0	2	1	2	1	0	0	0	4	0	1	0	0	0	0	0	4	0	1	0	0	3	10	1	1	3	4	0	0	0	1	5	4	1	0	1	9	1	1
ASV_395	4	6	0	2	3	4	0	3	1	1	7	0	4	0	0	6	0	0	0	5	4	2	6	2	2	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0
ASV_396	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	2	0	0	2	2	0	1	0	0	0	2	2	10	11	0	1	4	1	11	3	3	1	0	5	1	0
ASV_397	3	6	2	5	5	1	1	2	0	1	8	0	3	4	2	2	7	6	1	0	5	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_398	2	1	1	0	3	2	0	2	2	1	4	1	0	0	2	1	1	0	1	1	0	1	0	0	7	4	2	0	0	0	0	2	5	0	7	1	0	1	0	2	4	0	3	2	1	0	2
ASV_399	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	6	0	4	1	0	0	3	1	1	2	2	2	0	0	7	2	2	1	17	0	5	1	2
ASV_400	0	0	0	1	0	2	1	0	0	0	0	0	3	0	0	1	0	0	1	0	1	1	2	2	0	1	33	2	0	0	0	0	0	4	0	0	0	1	9	0	2	0	0	0	0	0	2
ASV_401	5	2	0	0	1	3	4	8	0	4	0	1	0	0	0	0	1	7	1	2	8	1	1	0	0	0	0	2	4	1	1	0	4	1	3	0	1	1	0	0	0	1	1	0	0	0	0
ASV_402	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	1	0	1	0	1	0	0	0	2	0	2	0	1	1	1	0	1	0	0	2	0	0	1	0	11	6	14	8	5	3	1
